Unknown_Words,Closest_Match
returning,unreturning
sonia,sotnia
vihar,vihara
hrs,hers
fuck,yuck
hours,ours
arvindkejriwal,vindemial
penalised,penalize
bses,bases
suppy,supply
karol,karo
bagh,bargh
gaffar,zaffar
nahi,pahi
hai,hami
ive,wive
sanctioned,unsanctioned
ve,voe
charges,charge
months,month
mujhe,mutsje
liye,lye
nhi,ni
rahe,rathe
sb,sub
slots,sots
bta,bota
raha,rah
tak,teak
kaise,kaiser
le,ule
mcd,mucid
goswami,swami
appreciated,appreciate
connections,connection
floors,floor
updated,update
updates,update
supposes,suppose
installed,uninstalled
years,year
shuld,should
arrears,arrear
planning,panning
created,ocreated
has,hasp
sharing,shearing
screenshot,screet
app,yapp
happened,happen
areas,area
patti,upattic
bsesdelhi,bedel
cmodelhi,model
pmoindia,poind
hr,her
karawal,kraal
nagar,nagara
delhi,Adelphi
yamuna,amunam
raining,training
gets,get
requesting,requestion
extn,sexton
pls,plus
online,onliness
minutes,minute
everytime,overtime
channels,channel
powercuts,percuss
complaints,complaint
looks,look
channa,hanna
upsc,upsuck
services,service
students,student
hardwork,headwork
preparing,unpreparing
abhi,pahi
mera,metra
aya,yaya
aur,waur
hee,whee
ap,yap
logo,logos
ki,ski
bypl,byplay
pta,pita
bimari,bimarine
subha,subhead
bje,be
dusre,dure
kaam,aam
ghante,hantle
jaisi,raisin
itna,vita
jhut,jut
bolte,bolter
gokal,goal
awaiting,waiting
noone,noon
arun,arzun
kumar,kumhar
oficial,official
bills,brills
jumpher,jumper
damaged,damage
accounts,account
numbers,number
baarish,barish
hogye,hoyle
kya,kyat
kl,kyl
aayegi,aegis
kitni,kit
guys,guy
adjusted,unadjusted
malfunctioned,malfunction
readings,reading
april,aril
reported,unreported
steps,step
regards,regard
unnikrishnan,unnourishing
approached,unapproached
shared,sharded
gamri,gamori
payments,payment
stat,stoat
dm,dum
cuz,suz
contacted,contracted
ms,mas
babitas,barbitos
visited,visite
called,scalled
means,mean
malfunctioning,malfunction
whatsapp,whats
required,require
mantenence,maintenance
yvr,yr
chauhan,chulan
rhi,hi
shabha,shamba
gujran,uran
yaha,yahan
gayi,gay
hui,huia
digiye,dingily
started,stated
lights,light
earlier,wearier
mosquitoes,mosquitoey
mobil,mobile
ambika,gambia
heard,sheard
houses,house
looked,unlooked
details,detail
relates,relate
paid,spaid
requested,unrequested
uploaded,unloaded
attested,unattested
email,remail
ramesh,ramsch
koyi,koi
kisi,kainsi
tarah,taraph
liya,liniya
gaya,gayal
bcc,bucca
lg,lug
ltd,lated
numer,numero
rs,ras
revised,revise
abye,bye
bhai,bhangi
mai,mani
pura,purga
krunga,kurung
btao,tao
kha,khat
corrections,correction
takes,take
aaj,aa
aaygi,kanagi
atishiaap,antship
parties,paries
expenses,expense
thanku,thank
edmc,edemic
inspections,inspection
bapa,bap
hardhyan,hardpan
kw,w
sanc,sanct
thn,thon
saddened,unsaddened
emargency,emergency
receiving,unreceiving
rupesh,rush
sharma,shama
rama,trama
invited,invite
failed,unfailed
necassary,necessary
powercut,overcut
informing,uninforming
apx,apex
metres,metretes
polls,poll
wires,wire
mtr,motor
using,usings
smthing,smithing
hppn,hippen
arre,arrie
itni,titi
garmi,garum
kyu,yus
kaat,kanat
yaar,yar
vo,vow
bhi,hi
ghanto,ganton
aati,arati
isliye,isle
bharte,barter
heated,hearted
phatak,pataka
chawri,chawer
applying,unapplying
shows,show
jan,jean
ganesh,nesh
blocks,block
awaited,waisted
software,potware
kam,klam
vidyut,viduity
gurudwara,gurdwara
bala,beala
places,place
harassing,harassingly
installing,instealing
officers,officer
asap,sap
cuts,cutis
earliest,earlet
feb,fe
msg,misgo
replayed,replay
september,September
krishna,trishna
ghonda,honda
plzz,palazzi
