Customer_Text,Sentiment
are you returning extra security or not reply in lay man language i am not a lawyer,1
no power in sonia vihar area last 3 hrs,1
whats the fuck is going on every day power cut for 2 3 hours is it instruction of arvindkejriwal or something is going on without his knowledge should we penalised bses for this ca number 153633263,0
bses please restore power supply ca no is 152793248 please update about situation,1
no suppy 101350118,1
karol bagh gaffar market mein last 2 hrs se light nahi hai,1
please make a no supply complaint ca no 153032848 contact no 9810500568,0
no power supply since last 2 hrs ca no 152825852,1
ca 151876129 ive been sanctioned 7kw loadbut my consumption is no more than if 2kw hence i ve to pay good amount of fixed charges the thing is that i am not in house since last 15 months and ive got a bill of 1200,1
sir mujhe new condition ka liye appointment nhi mil rahe h sb slots book bta raha h next month tak too kaise le appointment,1
no power supply,1
r9 19 53 mcd mcd,1
my name is amar goswami i have applied for new connection many time but there is no response my application no is onyvr2605231199 this kindly request you to please take quick action for my new connection your action will be highly appreciated,1
how many connections can an individual apply for a single individual home with 4 floors ownership is single but load is preferred to be divided among multiple connections,1
this is still not updated as i m not able to register for subsidy refer error snapshot,0
any updates on this its pending for long once again a query was raised by bses for the id proof of the address where the meter supposes to be installed how is it possible to have the id proof of the tenant at that address looking for prepay meter on the rented accommodation,0
you dont give me solution give me a approval letter so i can reapply my new connection,1
let me see according to me it was a theft of electricity for last three years and bses shuld recover the arrears from the consumer as it was done by planning to show the the connection as domestic,1
no action on complaint number 23052101193 created on 21may,0
ca number 101148491 mobile number is 9871543623 the electricity has gone please take necessary action,1
my ca number is 152678799 and i am sharing the screenshot when i try to register the complaint through bses app,0
what happened you cut my areas light ca no 101411493 area chauhan patti 110094 bsesdelhi cmodelhi pmoindia sir please look at this area every day they cut the area light maximum 3 to 4 hr please help,1
power cut help please 151971702,1
no electricity in karawal nagar area since one hour please look into the matter ca 151229658,1
sirmaam there is no power supply in our area please look into this matter ca no 152622622 address street no 8 cblock shastri park delhi 110053 complaint center shastri park division yamuna vihar mobile no 8447609481 kindly raise a complain,1
your customer care no is not working i have to make a complaint no power in area my ca no is 150746430,0
101500165 9811612936,1
no power in sonia vihar area last 4 hrs,1
101548573,1
its raining and there is no electricity since morning i believe the only reason behind the power cut is the rain its really hard to start the day without power and gets ready for our work requesting to do the needful on an urgent basis ca no 153768787,0
no power in karawal nagar extn area from last 3 hourspls take action ca no 101372605,1
light not come last 4 hours very long time taken ca 101410314,1
ca no153956356 mobile no8178424383 the light has gone out since this morning due to which there is a lot of trouble,1
there is no power supply from last 6 hours not able to register complaint through online mode and your customer support is giving 15 minutes deadline everytime ca number 153182712 which is showing incorrect on your online channels,0
sure ini electricity for last hour daily powercuts despite repeated complaints it looks like i have been living in up please look into it,1
